,GPU,TP,EP,BatchSize,DenseMLA,DenseMLP,SparseMLA,Combine,SharedExpert,RoutedExpert,Dispatch,COMP_SUM,COMM_SUM,Delta,TPOT,TPOT_O,TPS,TPS_O,Total,Total_O,Comm_Impact,index_value
21,GB300-NVL72,4,8,128,0.12249913964796377,0.05428185116611765,0.12557383040492362,0.01915032679738562,0.013989638550588233,0.23544652016941175,0.01915032679738562,0.3750099891249236,0.03830065359477124,-0.10126281536074061,22.280922341687816,22.280922341687816,44.881445420640894,44.881445420640894,5744.825013842034,5744.825013842034,0.0,8
22,GB300-NVL72,8,320,32,0.030624784911990943,0.04831310985035294,0.07746792047863146,0.030588235294117645,0.005699720056470588,0.009568348687058824,0.030588235294117645,0.09273598922216086,0.06117647058823529,-0.02199116994686676,5.615501059172362,5.615501059172362,178.07849904446184,178.07849904446184,5698.511969422779,5698.511969422779,0.0,8
23,GB300-NVL72,8,144,32,0.030624784911990943,0.04831310985035294,0.07746792047863146,0.030588235294117645,0.00577867166117647,0.015347020348235294,0.030588235294117645,0.09859361248804323,0.06117647058823529,-0.022070121551572643,5.955243208593539,5.955243208593539,167.9192545078561,167.9192545078561,5373.416144251395,5373.416144251395,0.0,8
24,GB300-NVL72,8,16,64,0.061249569823981886,0.05030269028894118,0.08993584095726294,0.01457516339869281,0.009568348687058824,0.11772326008470588,0.01457516339869281,0.21722744972902763,0.02915032679738562,-0.07035386284693615,12.933848864622371,12.933848864622371,77.3165057414019,77.3165057414019,4948.256367449721,4948.256367449721,0.0,8
25,GB300-NVL72,8,72,32,0.030624784911990943,0.04831310985035294,0.07746792047863146,0.012287581699346406,0.006252381289411765,0.02943081502117647,0.012287581699346406,0.11315111678921969,0.024575163398692812,-0.05914513836935042,6.799578458061774,6.799578458061774,147.06794048598286,147.06794048598286,4706.1740955514515,4706.1740955514515,0.0,8
26,GB300-NVL72,8,36,32,0.030624784911990943,0.04831310985035294,0.07746792047863146,0.012287581699346406,0.007357703755294117,0.05886163004235294,0.012287581699346406,0.14368725427627851,0.024575163398692812,-0.06025046083523277,8.570674432311186,8.570674432311186,116.67693224118162,116.67693224118162,3733.6618317178118,3733.6618317178118,0.0,8
27,H800,1,320,256,0.8949331311515719,0.23181803331213033,0.944933131151572,0.6688235294117647,0.04385533675355943,0.17790151755788725,0.33941176470588236,1.1666899854630186,1.0082352941176471,0.019446826212515728,72.17618857057211,71.04827265024619,13.854984861416234,14.074937541729733,3546.876124522556,3603.1840106828117,0.015627258001065916,8
28,GB300-NVL72,8,8,64,0.061249569823981886,0.05030269028894118,0.08993584095726294,0.01457516339869281,0.010673671152941176,0.2089187809882353,0.01457516339869281,0.30952829309843943,0.02915032679738562,-0.0714591853128185,18.287297780048256,18.287297780048256,54.68276461769089,54.68276461769089,3499.696935532217,3499.696935532217,0.0,8
29,H800,1,144,256,0.8949331311515719,0.23181803331213033,0.944933131151572,0.6688235294117647,0.04385533675355943,0.2026073999108284,0.33941176470588236,1.1913958678159597,1.0082352941176471,0.019446826212515728,73.60912974704269,72.48121382671677,13.585271330288698,13.796678438508673,3477.8294605539068,3531.9496802582203,0.015323043815379836,8
30,GB300-NVL72,1,320,16,0.015312392455995472,0.04731831963105883,0.06531239245599547,0.020294117647058824,0.0054628652423529414,0.007673510174117647,0.020294117647058824,0.07844876787246606,0.04058823529411765,-0.030187022404230768,4.7379206728641945,4.7379206728641945,211.06305255961036,211.06305255961036,3377.0088409537657,3377.0088409537657,0.0,8
